class_index,class_name,prompt_index,prompt_text,own_centroid_similarity,best_other_centroid_class,best_other_centroid_similarity,centroid_margin,nearest_centroid_class,nearest_centroid_is_own
3,Arson,0,a person lighting material before flames spread,0.9076705574989319,Vandalism,0.8454263806343079,0.06224417686462402,Arson,True
9,Robbery,0,a threatening person demanding valuables from a victim,0.94444340467453,Stealing,0.8798948526382446,0.0645485520362854,Robbery,True
7,Fighting,3,several combatants grappling and swinging simultaneously,0.903183102607727,Assault,0.8370321393013,0.066150963306427,Fighting,True
5,Burglary,2,a masked intruder entering a closed building interior,0.9455680847167969,Stealing,0.8767569065093994,0.06881117820739746,Burglary,True
6,Explosion,4,a pressure blast expanding faster than surrounding motion,0.9766467809677124,Arson,0.9076025485992432,0.06904423236846924,Explosion,True
11,Shoplifting,4,a customer exiting retail space with concealed merchandise,0.8947001695632935,Stealing,0.8231006860733032,0.07159948348999023,Shoplifting,True
3,Arson,2,a lighter touching a surface before ignition starts,0.9557129144668579,Explosion,0.8827630281448364,0.07294988632202148,Arson,True
5,Burglary,3,a person climbing through a window into private space,0.9192861318588257,Stealing,0.8451657295227051,0.0741204023361206,Burglary,True
11,Shoplifting,0,a shopper concealing merchandise inside clothing or bag,0.9573192000389099,Stealing,0.881985068321228,0.07533413171768188,Shoplifting,True
8,RoadAccidents,1,a car striking a pedestrian or cyclist on road,0.9423307180404663,Stealing,0.8647246360778809,0.07760608196258545,RoadAccidents,True
13,Vandalism,0,a person spraying paint across a wall surface,0.927730917930603,Burglary,0.8485344052314758,0.0791965126991272,Vandalism,True
6,Explosion,2,an object rupturing outward in a single instant,0.9701868891716003,Fighting,0.8900455832481384,0.08014130592346191,Explosion,True
6,Explosion,0,a blast center expanding into a radial debris cloud,0.9737836122512817,Arson,0.8934195041656494,0.08036410808563232,Explosion,True
0,Normal,0,pedestrians walking calmly along an ordinary street,0.928496778011322,RoadAccidents,0.843805730342865,0.08469104766845703,Normal,True
8,RoadAccidents,0,vehicles colliding at an intersection on the roadway,0.83994060754776,Arrest,0.7541780471801758,0.08576256036758423,RoadAccidents,True
8,RoadAccidents,2,a motorbike sliding across a lane after collision,0.8942753076553345,Stealing,0.7924336194992065,0.10184168815612793,RoadAccidents,True
2,Arrest,3,law enforcement securing a suspect during formal custody,0.9164847135543823,Robbery,0.8015206456184387,0.1149640679359436,Arrest,True
11,Shoplifting,2,store goods disappearing beneath a jacket while shopping,0.9451815485954285,Stealing,0.8264192342758179,0.1187623143196106,Shoplifting,True
11,Shoplifting,3,a shopper slipping merchandise into a bag in aisle,0.9285629391670227,Stealing,0.8018602132797241,0.12670272588729858,Shoplifting,True
2,Arrest,4,a detained person kneeling while officers apply restraints,0.9367780685424805,Stealing,0.8045679330825806,0.1322101354598999,Arrest,True
8,RoadAccidents,4,a crashed vehicle blocking lanes after roadway impact,0.9213151931762695,Arrest,0.7720457315444946,0.1492694616317749,RoadAccidents,True
2,Arrest,2,a handcuffed suspect standing between multiple police officers,0.9594374895095825,Stealing,0.8040464520454407,0.15539103746414185,Arrest,True
2,Arrest,0,uniformed police placing handcuffs on a detained suspect,0.9650144577026367,Stealing,0.788826584815979,0.17618787288665771,Arrest,True
0,Normal,3,customers standing calmly near store counters,0.8059272766113281,Arrest,0.6273626089096069,0.1785646677017212,Normal,True
2,Arrest,1,officers escorting a handcuffed person toward a patrol car,0.8987360000610352,RoadAccidents,0.6913129687309265,0.20742303133010864,Arrest,True
