class_name,prompt_index,prompt_text,own_class_similarity,best_other_class,best_other_similarity,other_minus_own,nearest_same_class_prompt_similarity
Vandalism,9,"property damage happening without theft, fire, or confrontation",0.7717186212539673,Arson,0.7484654188156128,-0.023253202438354492,0.7213772535324097
Robbery,3,a robber snatching property and escaping quickly,0.9106577634811401,Stealing,0.884414792060852,-0.026242971420288086,0.8754109144210815
Robbery,9,a robber approaching a victim and leaving with belongings,0.9246846437454224,Burglary,0.8973800539970398,-0.02730458974838257,0.9183264970779419
Stealing,2,a suspect approaching a valuable item and carrying it away,0.9236127138137817,Robbery,0.8960261344909668,-0.02758657932281494,0.894149661064148
Explosion,9,a violent detonation damaging a vehicle or nearby building,0.8671875,Vandalism,0.8392802476882935,-0.027907252311706543,0.8218473196029663
Stealing,6,a suspect removing a package or bag from public space,0.8707613348960876,Robbery,0.8415635228157043,-0.0291978120803833,0.8425540924072266
Assault,6,a person shoving an opponent hard enough to lose balance,0.9454129338264465,Abuse,0.9154730439186096,-0.029939889907836914,0.9138966202735901
Robbery,8,a person brandishing a weapon to demand property,0.8837354779243469,Shooting,0.8534847497940063,-0.030250728130340576,0.8484607934951782
Assault,9,a victim shielding their face during a rapid attack,0.9021409153938293,Abuse,0.870939314365387,-0.031201601028442383,0.8564406037330627
Assault,3,an aggressor kicking a fallen victim on the ground,0.9234865307807922,Abuse,0.8902699947357178,-0.03321653604507446,0.9181705713272095
Stealing,1,"a thief grabbing a bicycle, bag, phone, or object",0.8692350387573242,Robbery,0.8339682221412659,-0.03526681661605835,0.8356356620788574
Abuse,7,a stronger aggressor overpowering a weaker person indoors,0.9423457384109497,Assault,0.9062044620513916,-0.036141276359558105,0.8920010328292847
Shoplifting,9,a retail theft scene with discreet concealment and exit,0.8021580576896667,Stealing,0.7648133039474487,-0.03734475374221802,0.7634055614471436
Fighting,6,a crowd surrounding combatants in an escalating brawl,0.8715909123420715,Assault,0.8338337540626526,-0.037757158279418945,0.8350781202316284
Arson,6,a surveillance frame showing deliberate ignition near a structure,0.8029419183731079,Explosion,0.7651149034500122,-0.0378270149230957,0.776799201965332
Assault,1,an attacker lunging toward a victim with a forceful strike,0.9193475246429443,Abuse,0.8815152645111084,-0.03783226013183594,0.8908627033233643
Robbery,7,a suspect taking valuables while the victim backs away,0.9447376132011414,Burglary,0.9063009023666382,-0.038436710834503174,0.9183264970779419
Arson,4,a person fleeing as a deliberately started fire grows,0.9110146760940552,Burglary,0.868985652923584,-0.04202902317047119,0.901778519153595
Arson,5,smoke and flames rising from unattended damaged property,0.8691158294677734,Explosion,0.8261528015136719,-0.04296302795410156,0.8007206320762634
Robbery,5,an attacker cornering a victim and seizing personal items,0.9254421591758728,Abuse,0.8822771310806274,-0.04316502809524536,0.9032477140426636
Vandalism,6,a person scratching and denting a parked vehicle,0.8294012546539307,RoadAccidents,0.7848817110061646,-0.04451954364776611,0.7035810947418213
Arrest,0,a surveillance frame of police restraining a suspect,0.8891757726669312,Robbery,0.8443251252174377,-0.04485064744949341,0.8280905485153198
Arrest,6,a patrol team blocking a suspect from escaping,0.8806271553039551,Assault,0.8344036936759949,-0.046223461627960205,0.811823844909668
Burglary,8,a person damaging a lock to access an interior space,0.9156349301338196,Robbery,0.8680546283721924,-0.0475803017616272,0.869550883769989
Fighting,1,"several people grappling, pushing, and swinging arms",0.899425745010376,Abuse,0.8508188724517822,-0.04860687255859375,0.8451674580574036
Arson,7,"fire spreading around an entrance, window, or vehicle",0.865519106388092,Explosion,0.8158777952194214,-0.049641311168670654,0.893619954586029
Fighting,0,a group of people exchanging punches and kicks,0.8707784414291382,Robbery,0.8207034468650818,-0.050074994564056396,0.8350781202316284
Explosion,4,a large fireball expanding after an abrupt detonation,0.8777801990509033,Arson,0.8276708126068115,-0.0501093864440918,0.881369411945343
Explosion,1,a vehicle or structure bursting violently with scattered fragments,0.8323009014129639,Arson,0.7818734049797058,-0.05042749643325806,0.7718566060066223
Abuse,1,a person forcefully pushing a helpless victim against furniture,0.9033123850822449,Assault,0.8518620729446411,-0.05145031213760376,0.8585507869720459
Stealing,5,a thief cutting a lock and taking a bicycle,0.8943954110145569,Robbery,0.8426185846328735,-0.05177682638168335,0.8356356620788574
Shooting,2,a muzzle flash appearing as a shooter targets someone,0.8901061415672302,Assault,0.8381795287132263,-0.051926612854003906,0.8307991027832031
Shooting,7,a gunfire scene with fear and rapid dispersal,0.9162778854370117,Robbery,0.8634526133537292,-0.05282527208328247,0.8862702250480652
Burglary,1,a person prying a lock to enter a restricted room,0.9218551516532898,Robbery,0.8688724637031555,-0.05298268795013428,0.869550883769989
Abuse,6,a vulnerable person recoiling from sustained aggressive body contact,0.9424253702163696,Assault,0.8889453411102295,-0.05348002910614014,0.8927686810493469
Assault,8,an aggressor pursuing a target while continuing to strike,0.8859444856643677,Abuse,0.8303872346878052,-0.0555572509765625,0.9136236310005188
Shoplifting,4,a person scanning surroundings before pocketing merchandise,0.8970906734466553,Stealing,0.8413698673248291,-0.05572080612182617,0.8386256694793701
Stealing,7,a person pocketing an unattended item and changing direction,0.9330909252166748,Robbery,0.8769992589950562,-0.05609166622161865,0.894149661064148
RoadAccidents,8,a car hitting an obstacle with sudden debris,0.8393374681472778,Explosion,0.7826923727989197,-0.056645095348358154,0.7977772355079651
Stealing,3,unattended belongings disappearing after suspicious human contact,0.8875414133071899,Burglary,0.830756664276123,-0.056784749031066895,0.8769382238388062
Shooting,3,a person firing a handgun and causing panic,0.9229608774185181,Robbery,0.8660361170768738,-0.05692476034164429,0.9092108607292175
Arson,8,a person handling a lighter before a sudden flame outbreak,0.9137409329414368,Burglary,0.8555557131767273,-0.05818521976470947,0.8783414959907532
Stealing,4,a person lifting property while the owner is distracted,0.8633477687835693,Vandalism,0.8047603964805603,-0.05858737230300903,0.8280789852142334
Explosion,3,an explosive impact throwing debris across a street,0.8710694313049316,Arson,0.812340497970581,-0.058728933334350586,0.8218473196029663
Explosion,0,"a sudden blast creating a fireball, smoke, and debris",0.9202225804328918,Arson,0.8610408306121826,-0.05918174982070923,0.881369411945343
Vandalism,0,a person damaging property by smashing a window or door,0.8837243318557739,Burglary,0.8242301940917969,-0.05949413776397705,0.8440583944320679
Stealing,9,a thief carrying stolen property away without confrontation,0.9010641574859619,Robbery,0.8414434790611267,-0.059620678424835205,0.823251485824585
Robbery,0,a threatening person forcing a victim to surrender valuables,0.9366558790206909,Burglary,0.8763073682785034,-0.0603485107421875,0.9049731492996216
Shooting,4,an armed attacker discharging a weapon in public,0.9130545854568481,Robbery,0.8500024080276489,-0.06305217742919922,0.9020249843597412
Fighting,7,people trading blows while moving unpredictably through space,0.8223470449447632,Explosion,0.7577356100082397,-0.06461143493652344,0.7679218053817749
Shoplifting,0,a shopper concealing merchandise inside clothing or a bag,0.9134749174118042,Robbery,0.8463204503059387,-0.06715446710586548,0.8940953016281128
Burglary,3,a suspect searching drawers and shelves after unauthorized entry,0.8735222220420837,Shoplifting,0.8061147928237915,-0.06740742921829224,0.8291987180709839
Shooting,5,a victim falling after a nearby firearm is fired,0.9256081581115723,Abuse,0.8577482104301453,-0.067859947681427,0.8697097301483154
Stealing,0,a person taking unattended property and leaving quickly,0.9140320420265198,Arson,0.8452231287956238,-0.068808913230896,0.8769382238388062
Assault,7,"a close range attack with punches, kicks, and defense",0.8916031718254089,Abuse,0.8218004107475281,-0.06980276107788086,0.8793429136276245
Burglary,6,a suspicious person slipping inside after a doorway opens,0.9344068765640259,Stealing,0.8628369569778442,-0.07156991958618164,0.8746046423912048
Arrest,4,law enforcement pinning a resisting person during detention,0.8789271116256714,Robbery,0.8062528967857361,-0.0726742148399353,0.8114659786224365
Robbery,1,an aggressor confronting someone and grabbing a purse or wallet,0.899233341217041,Stealing,0.8265156745910645,-0.07271766662597656,0.8500800728797913
Arson,0,a person igniting flammable material near property,0.9410653114318848,Explosion,0.8647094964981079,-0.07635581493377686,0.8811087608337402
Burglary,9,an intruder exiting a building with bags or electronics,0.9316137433052063,Robbery,0.8550086617469788,-0.07660508155822754,0.8750227689743042
Burglary,0,a surveillance frame of an intruder forcing a doorway,0.9219546318054199,Robbery,0.8446096181869507,-0.07734501361846924,0.864385724067688
Explosion,8,a sudden light burst with heavy smoke and debris,0.9294960498809814,Arson,0.8519144654273987,-0.07758158445358276,0.8980532884597778
Vandalism,2,a suspect spraying graffiti on a wall or vehicle,0.785844087600708,Shooting,0.7078585624694824,-0.07798552513122559,0.7035810947418213
Shooting,6,a shooter raising a gun while a crowd runs,0.9346207976341248,Assault,0.8564153909683228,-0.078205406665802,0.87824547290802
Shoplifting,6,concealed goods disappearing beneath a jacket in a store,0.851164698600769,Stealing,0.7722711563110352,-0.07889354228973389,0.7770277261734009
RoadAccidents,0,"a vehicle collision causing impact, debris, and disruption",0.843042254447937,Arson,0.7641470432281494,-0.0788952112197876,0.8516976237297058
Arson,3,bright flames emerging after someone approaches a combustible target,0.9290404915809631,Explosion,0.8493812084197998,-0.07965928316116333,0.8699960708618164
Arson,2,a small fire spreading across a vehicle or building surface,0.9123550653457642,Explosion,0.8310853838920593,-0.08126968145370483,0.893619954586029
Arrest,7,police pulling a suspect's arms behind their back,0.8972395658493042,Shooting,0.814791202545166,-0.08244836330413818,0.8469151258468628
Fighting,5,fighters grabbing clothing while others join the conflict,0.7421432733535767,Arrest,0.6585544347763062,-0.08358883857727051,0.6920099258422852
Burglary,2,a masked intruder breaking a barrier into private property,0.9081263542175293,Stealing,0.8232400417327881,-0.08488631248474121,0.8429782390594482
Shoplifting,5,someone carrying an unpaid item past the cashier,0.8128294944763184,Stealing,0.7272658944129944,-0.08556360006332397,0.7938627004623413
Explosion,5,a shockwave shaking the scene while smoke engulfs objects,0.8593953251838684,Arson,0.7712147235870361,-0.08818060159683228,0.8131519556045532
Arson,9,a property surface burning after a suspicious human action,0.943311333656311,Explosion,0.855117678642273,-0.08819365501403809,0.901778519153595
Shooting,1,a gunman pointing a weapon as people scatter,0.9430813789367676,Robbery,0.8519394397735596,-0.09114193916320801,0.9025909900665283
Shoplifting,7,a customer manipulating shelf products and hiding one item,0.9337834119796753,Robbery,0.8423934578895569,-0.09138995409011841,0.872118353843689
Arrest,2,police surrounding a suspect and directing surrender,0.7124837636947632,Normal,0.6210811138153076,-0.09140264987945557,0.7145230770111084
Explosion,2,a bright flash followed by an expanding smoke cloud,0.8717241287231445,Arson,0.7802304029464722,-0.09149372577667236,0.8980532884597778
Fighting,4,two groups clashing in a chaotic physical fight,0.9225510358810425,Assault,0.8310088515281677,-0.09154218435287476,0.8885878324508667
Shoplifting,3,a shopper slipping goods into a bag while browsing,0.9253171682357788,Robbery,0.8320244550704956,-0.0932927131652832,0.8940953016281128
Burglary,5,a person climbing through a window into closed property,0.8912891149520874,Stealing,0.7978916764259338,-0.09339743852615356,0.8746046423912048
Shoplifting,2,a customer hiding a product and exiting an aisle,0.9347772598266602,Robbery,0.8386921882629395,-0.0960850715637207,0.872118353843689
Arson,1,a suspicious person pouring liquid before visible flames appear,0.9087917804718018,Explosion,0.8125377893447876,-0.09625399112701416,0.8811087608337402
Explosion,6,an object detonating and damaging the surrounding area,0.8937205076217651,Arson,0.7972740530967712,-0.0964464545249939,0.8202124834060669
RoadAccidents,6,a rider thrown onto pavement after a high speed impact,0.898884117603302,Stealing,0.8018001317977905,-0.09708398580551147,0.8449317216873169
Arrest,9,officers immobilizing a suspect using coordinated restraint,0.9147408604621887,Abuse,0.8154133558273315,-0.09932750463485718,0.886388897895813
Burglary,7,a burglar moving quietly through a room collecting valuables,0.930377185344696,Robbery,0.8274168968200684,-0.10296028852462769,0.8750227689743042
Shooting,0,an armed person aiming a firearm and firing shots,0.9474647045135498,Robbery,0.843574047088623,-0.10389065742492676,0.9092108607292175
Vandalism,4,a vandal throwing an object at a storefront or car,0.8656778931617737,Robbery,0.7569704055786133,-0.1087074875831604,0.8440583944320679
Vandalism,5,"deliberate destruction of signs, windows, equipment, or furniture",0.7325000762939453,Normal,0.6206441521644592,-0.11185592412948608,0.7216587662696838
Arrest,3,uniformed officers escorting a suspect toward a patrol car,0.8755162954330444,Robbery,0.7629823684692383,-0.11253392696380615,0.798303484916687
Fighting,3,multiple individuals shoving and wrestling in public,0.913794994354248,Assault,0.7991834878921509,-0.11461150646209717,0.8451674580574036
Shooting,8,a person aiming a rifle or handgun at a target,0.9214754700660706,Robbery,0.8064602613449097,-0.11501520872116089,0.8718198537826538
Shoplifting,1,a person removing a store item without checkout,0.9019294381141663,Robbery,0.7856419682502747,-0.1162874698638916,0.854855477809906
RoadAccidents,1,a car striking a pedestrian or cyclist on the road,0.8937757015228271,Vandalism,0.7694761157035828,-0.12429958581924438,0.8679397106170654
Explosion,7,a blast plume rising as fragments scatter on the road,0.8814272880554199,Arson,0.7532101273536682,-0.1282171607017517,0.8262903690338135
Fighting,8,a mutual fight continuing despite attempts to separate,0.8581486940383911,Assault,0.728368878364563,-0.12977981567382812,0.7827120423316956
RoadAccidents,5,a damaged vehicle stopped and blocking the roadway,0.8586186170578003,Vandalism,0.7282496690750122,-0.13036894798278809,0.802666187286377
Arrest,5,officers searching a suspect after applying physical restraint,0.9243729114532471,Stealing,0.7930949330329895,-0.13127797842025757,0.886388897895813
RoadAccidents,3,vehicles swerving and colliding during a sudden accident,0.9110852479934692,Vandalism,0.7500060796737671,-0.16107916831970215,0.9113917350769043
RoadAccidents,4,a pedestrian knocked down by a vehicle near a crossing,0.8964643478393555,Robbery,0.727798342704773,-0.16866600513458252,0.8679397106170654
RoadAccidents,7,a traffic accident with a vehicle spinning to a halt,0.9531207084655762,Explosion,0.7817778587341309,-0.1713428497314453,0.9113917350769043
Arrest,1,officers handcuffing a detained person with controlled posture,0.8620208501815796,Robbery,0.6836347579956055,-0.17838609218597412,0.8571211099624634
RoadAccidents,9,a motorbike rider falling during an intersection collision,0.8940460085868835,Arrest,0.6913509964942932,-0.20269501209259033,0.834365963935852
Arrest,8,a detained person being guided beside police officers,0.8616580963134766,Robbery,0.6581363677978516,-0.203521728515625,0.761481523513794
RoadAccidents,2,a motorbike sliding across a lane after a crash,0.848137617111206,Stealing,0.6412445902824402,-0.20689302682876587,0.834365963935852
Normal,4,workers calmly performing tasks around counters and equipment,0.791961669921875,Vandalism,0.5278182625770569,-0.2641434073448181,0.7239159345626831
Normal,9,an orderly scene with predictable everyday human activity,0.85799241065979,Fighting,0.5402973294258118,-0.31769508123397827,0.8133997917175293
Normal,0,a normal street scene with pedestrians walking calmly,0.8347755074501038,Arrest,0.455931693315506,-0.3788438141345978,0.8685065507888794
Normal,3,shoppers browsing shelves and carrying bags normally,0.8590365052223206,Shoplifting,0.4117700159549713,-0.44726648926734924,0.7659081816673279
Normal,6,people entering and exiting buildings in a routine manner,0.9206262826919556,Vandalism,0.4291440546512604,-0.4914822280406952,0.8787246942520142
Normal,2,vehicles moving through traffic in an ordinary way,0.8951294422149658,Arrest,0.4035288095474243,-0.4916006326675415,0.8217939138412476
Normal,5,pedestrians crossing a walkway with regular spacing,0.8465381860733032,Arrest,0.3474922776222229,-0.4990459084510803,0.8685065507888794
Normal,8,people interacting casually without panic or force,0.8475622534751892,Arrest,0.3398260474205017,-0.5077362060546875,0.9011355042457581
Normal,1,people standing and talking without aggressive movement,0.8829354643821716,Arrest,0.3440355658531189,-0.5388998985290527,0.9011355042457581
Normal,7,a public area with ordinary walking and waiting,0.9230555891990662,Vandalism,0.32351601123809814,-0.599539577960968,0.8787246942520142
