global_prompt_index,source_file,class_index,class_name,prompt_index,clip_token_count_with_special,clip_content_token_count,raw_prompt_text,encoded_prompt_text,clip_token_ids_nonzero
37,ucf_manual_class_prompts_10x.json,3,Arson,7,13,11,"fire spreading around an entrance, window, or vehicle","arson fire spreading around an entrance, window, or vehicle",49406 29937 1769 11821 1630 550 9129 267 4879 267 541 5299 49407
38,ucf_manual_class_prompts_10x.json,3,Arson,8,13,11,a person handling a lighter before a sudden flame outbreak,arson a person handling a lighter before a sudden flame outbreak,49406 29937 320 2533 14071 320 14102 1348 320 15433 13484 20103 49407
39,ucf_manual_class_prompts_10x.json,3,Arson,9,12,10,a property surface burning after a suspicious human action,arson a property surface burning after a suspicious human action,49406 29937 320 5043 7744 8405 953 320 19862 2751 1816 49407
40,ucf_manual_class_prompts_10x.json,4,Assault,0,12,10,a person punching another person in a close confrontation,assault a person punching another person in a close confrontation,49406 9679 320 2533 33468 1380 2533 530 320 2660 41478 49407
41,ucf_manual_class_prompts_10x.json,4,Assault,1,15,13,an attacker lunging toward a victim with a forceful strike,assault an attacker lunging toward a victim with a forceful strike,49406 9679 550 39288 3221 3905 8508 320 9133 593 320 12068 857 5767 49407
42,ucf_manual_class_prompts_10x.json,4,Assault,2,12,10,two people colliding violently during a street confrontation,assault two people colliding violently during a street confrontation,49406 9679 1237 1047 8262 796 47758 1590 320 2012 41478 49407
43,ucf_manual_class_prompts_10x.json,4,Assault,3,13,11,an aggressor kicking a fallen victim on the ground,assault an aggressor kicking a fallen victim on the ground,49406 9679 550 10426 35152 7802 320 8688 9133 525 518 2461 49407
44,ucf_manual_class_prompts_10x.json,4,Assault,4,13,11,a victim stumbling backward after a direct body hit,assault a victim stumbling backward after a direct body hit,49406 9679 320 9133 16784 1358 37964 953 320 6016 1774 2341 49407
45,ucf_manual_class_prompts_10x.json,4,Assault,5,11,9,an attacker swinging arms repeatedly at another person,assault an attacker swinging arms repeatedly at another person,49406 9679 550 39288 26760 5706 26630 536 1380 2533 49407
46,ucf_manual_class_prompts_10x.json,4,Assault,6,14,12,a person shoving an opponent hard enough to lose balance,assault a person shoving an opponent hard enough to lose balance,49406 9679 320 2533 719 903 550 17002 1626 2744 531 5354 6827 49407
47,ucf_manual_class_prompts_10x.json,4,Assault,7,14,12,"a close range attack with punches, kicks, and defense","assault a close range attack with punches, kicks, and defense",49406 9679 320 2660 3818 3815 593 35279 267 6989 267 537 6021 49407
48,ucf_manual_class_prompts_10x.json,4,Assault,8,13,11,an aggressor pursuing a target while continuing to strike,assault an aggressor pursuing a target while continuing to strike,49406 9679 550 10426 35152 26424 320 5400 1519 11009 531 5767 49407
49,ucf_manual_class_prompts_10x.json,4,Assault,9,13,11,a victim shielding their face during a rapid attack,assault a victim shielding their face during a rapid attack,49406 9679 320 9133 823 28223 911 1710 1590 320 12205 3815 49407
50,ucf_manual_class_prompts_10x.json,5,Burglary,0,13,11,a surveillance frame of an intruder forcing a doorway,burglary a surveillance frame of an intruder forcing a doorway,49406 32573 320 15578 6481 539 550 22949 801 21573 320 46575 49407
51,ucf_manual_class_prompts_10x.json,5,Burglary,1,14,12,a person prying a lock to enter a restricted room,burglary a person prying a lock to enter a restricted room,49406 32573 320 2533 766 910 320 4381 531 3819 320 27197 1530 49407
52,ucf_manual_class_prompts_10x.json,5,Burglary,2,13,11,a masked intruder breaking a barrier into private property,burglary a masked intruder breaking a barrier into private property,49406 32573 320 25757 22949 801 2755 320 15706 1095 4439 5043 49407
53,ucf_manual_class_prompts_10x.json,5,Burglary,3,13,11,a suspect searching drawers and shelves after unauthorized entry,burglary a suspect searching drawers and shelves after unauthorized entry,49406 32573 320 9065 10626 38975 537 16225 953 569 28463 5362 49407
54,ucf_manual_class_prompts_10x.json,5,Burglary,4,13,11,an intruder carrying stolen items from a damaged entrance,burglary an intruder carrying stolen items from a damaged entrance,49406 32573 550 22949 801 9920 8704 6207 633 320 13568 9129 49407
55,ucf_manual_class_prompts_10x.json,5,Burglary,5,12,10,a person climbing through a window into closed property,burglary a person climbing through a window into closed property,49406 32573 320 2533 9877 1417 320 4879 1095 4552 5043 49407
56,ucf_manual_class_prompts_10x.json,5,Burglary,6,12,10,a suspicious person slipping inside after a doorway opens,burglary a suspicious person slipping inside after a doorway opens,49406 32573 320 19862 2533 36301 2912 953 320 46575 4801 49407
57,ucf_manual_class_prompts_10x.json,5,Burglary,7,13,11,a burglar moving quietly through a room collecting valuables,burglary a burglar moving quietly through a room collecting valuables,49406 32573 320 43365 3584 22208 1417 320 1530 10325 6291 8486 49407
58,ucf_manual_class_prompts_10x.json,5,Burglary,8,13,11,a person damaging a lock to access an interior space,burglary a person damaging a lock to access an interior space,49406 32573 320 2533 20610 320 4381 531 3822 550 7305 2138 49407
59,ucf_manual_class_prompts_10x.json,5,Burglary,9,13,11,an intruder exiting a building with bags or electronics,burglary an intruder exiting a building with bags or electronics,49406 32573 550 22949 801 39577 320 2307 593 6136 541 13081 49407
60,ucf_manual_class_prompts_10x.json,6,Explosion,0,14,12,"a sudden blast creating a fireball, smoke, and debris","explosion a sudden blast creating a fireball, smoke, and debris",49406 13785 320 15433 5964 5524 320 40543 267 6664 267 537 19208 49407
61,ucf_manual_class_prompts_10x.json,6,Explosion,1,12,10,a vehicle or structure bursting violently with scattered fragments,explosion a vehicle or structure bursting violently with scattered fragments,49406 13785 320 5299 541 5285 32566 47758 593 22090 41424 49407
62,ucf_manual_class_prompts_10x.json,6,Explosion,2,12,10,a bright flash followed by an expanding smoke cloud,explosion a bright flash followed by an expanding smoke cloud,49406 13785 320 4852 5815 6499 638 550 15755 6664 3887 49407
63,ucf_manual_class_prompts_10x.json,6,Explosion,3,11,9,an explosive impact throwing debris across a street,explosion an explosive impact throwing debris across a street,49406 13785 550 18888 3844 9734 19208 2500 320 2012 49407
64,ucf_manual_class_prompts_10x.json,6,Explosion,4,13,11,a large fireball expanding after an abrupt detonation,explosion a large fireball expanding after an abrupt detonation,49406 13785 320 3638 40543 15755 953 550 596 23055 39335 656 49407
65,ucf_manual_class_prompts_10x.json,6,Explosion,5,14,12,a shockwave shaking the scene while smoke engulfs objects,explosion a shockwave shaking the scene while smoke engulfs objects,49406 13785 320 19617 4535 19101 518 3562 1519 6664 43655 3854 13770 49407
66,ucf_manual_class_prompts_10x.json,6,Explosion,6,12,10,an object detonating and damaging the surrounding area,explosion an object detonating and damaging the surrounding area,49406 13785 550 14115 39335 1074 537 20610 518 12544 2445 49407
67,ucf_manual_class_prompts_10x.json,6,Explosion,7,14,12,a blast plume rising as fragments scatter on the road,explosion a blast plume rising as fragments scatter on the road,49406 13785 320 5964 39495 5448 601 41424 13899 652 525 518 1759 49407
68,ucf_manual_class_prompts_10x.json,6,Explosion,8,12,10,a sudden light burst with heavy smoke and debris,explosion a sudden light burst with heavy smoke and debris,49406 13785 320 15433 1395 13005 593 4200 6664 537 19208 49407
69,ucf_manual_class_prompts_10x.json,6,Explosion,9,13,11,a violent detonation damaging a vehicle or nearby building,explosion a violent detonation damaging a vehicle or nearby building,49406 13785 320 11565 39335 656 20610 320 5299 541 13314 2307 49407
70,ucf_manual_class_prompts_10x.json,7,Fighting,0,11,9,a group of people exchanging punches and kicks,fighting a group of people exchanging punches and kicks,49406 4652 320 1771 539 1047 47760 35279 537 6989 49407
71,ucf_manual_class_prompts_10x.json,7,Fighting,1,13,11,"several people grappling, pushing, and swinging arms","fighting several people grappling, pushing, and swinging arms",49406 4652 5560 1047 30843 1358 267 11549 267 537 26760 5706 49407
72,ucf_manual_class_prompts_10x.json,7,Fighting,2,12,10,two opponents separating and reengaging in a brawl,fighting two opponents separating and reengaging in a brawl,49406 4652 1237 19664 43480 537 515 13060 530 320 26066 49407
73,ucf_manual_class_prompts_10x.json,7,Fighting,3,11,9,multiple individuals shoving and wrestling in public,fighting multiple individuals shoving and wrestling in public,49406 4652 6470 11990 719 903 537 5904 530 2122 49407
74,ucf_manual_class_prompts_10x.json,7,Fighting,4,12,10,two groups clashing in a chaotic physical fight,fighting two groups clashing in a chaotic physical fight,49406 4652 1237 6776 940 1743 530 320 33501 6671 2757 49407
75,ucf_manual_class_prompts_10x.json,7,Fighting,5,11,9,fighters grabbing clothing while others join the conflict,fighting fighters grabbing clothing while others join the conflict,49406 4652 7371 26440 7425 1519 3326 1384 518 10397 49407
76,ucf_manual_class_prompts_10x.json,7,Fighting,6,13,11,a crowd surrounding combatants in an escalating brawl,fighting a crowd surrounding combatants in an escalating brawl,49406 4652 320 4570 12544 35083 1589 530 550 15902 1074 26066 49407
77,ucf_manual_class_prompts_10x.json,7,Fighting,7,13,11,people trading blows while moving unpredictably through space,fighting people trading blows while moving unpredictably through space,49406 4652 1047 6520 21063 1519 3584 569 4876 24440 1417 2138 49407
78,ucf_manual_class_prompts_10x.json,7,Fighting,8,11,9,a mutual fight continuing despite attempts to separate,fighting a mutual fight continuing despite attempts to separate,49406 4652 320 15055 2757 11009 5325 15610 531 13886 49407
79,ucf_manual_class_prompts_10x.json,7,Fighting,9,14,12,"a brawl with repeated grappling, striking, and falling","fighting a brawl with repeated grappling, striking, and falling",49406 4652 320 26066 593 27904 30843 1358 267 13392 267 537 7293 49407
80,ucf_manual_class_prompts_10x.json,8,RoadAccidents,0,14,12,"a vehicle collision causing impact, debris, and disruption","roadAccidents a vehicle collision causing impact, debris, and disruption",49406 4370 22072 320 5299 15407 10779 3844 267 19208 267 537 19635 49407
81,ucf_manual_class_prompts_10x.json,8,RoadAccidents,1,14,12,a car striking a pedestrian or cyclist on the road,roadAccidents a car striking a pedestrian or cyclist on the road,49406 4370 22072 320 1615 13392 320 18256 541 20686 525 518 1759 49407
82,ucf_manual_class_prompts_10x.json,8,RoadAccidents,2,13,11,a motorbike sliding across a lane after a crash,roadAccidents a motorbike sliding across a lane after a crash,49406 4370 22072 320 33341 21468 2500 320 3980 953 320 5033 49407
83,ucf_manual_class_prompts_10x.json,8,RoadAccidents,3,14,12,vehicles swerving and colliding during a sudden accident,roadAccidents vehicles swerving and colliding during a sudden accident,49406 4370 22072 8361 30514 903 537 8262 796 1590 320 15433 6608 49407
84,ucf_manual_class_prompts_10x.json,8,RoadAccidents,4,14,12,a pedestrian knocked down by a vehicle near a crossing,roadAccidents a pedestrian knocked down by a vehicle near a crossing,49406 4370 22072 320 18256 15325 1136 638 320 5299 2252 320 8673 49407
85,ucf_manual_class_prompts_10x.json,8,RoadAccidents,5,12,10,a damaged vehicle stopped and blocking the roadway,roadAccidents a damaged vehicle stopped and blocking the roadway,49406 4370 22072 320 13568 5299 6015 537 12652 518 42744 49407
86,ucf_manual_class_prompts_10x.json,8,RoadAccidents,6,14,12,a rider thrown onto pavement after a high speed impact,roadAccidents a rider thrown onto pavement after a high speed impact,49406 4370 22072 320 9707 15079 3141 27669 953 320 1400 4163 3844 49407
87,ucf_manual_class_prompts_10x.json,8,RoadAccidents,7,14,12,a traffic accident with a vehicle spinning to a halt,roadAccidents a traffic accident with a vehicle spinning to a halt,49406 4370 22072 320 3399 6608 593 320 5299 13987 531 320 25640 49407
88,ucf_manual_class_prompts_10x.json,8,RoadAccidents,8,12,10,a car hitting an obstacle with sudden debris,roadAccidents a car hitting an obstacle with sudden debris,49406 4370 22072 320 1615 7957 550 29751 593 15433 19208 49407
89,ucf_manual_class_prompts_10x.json,8,RoadAccidents,9,12,10,a motorbike rider falling during an intersection collision,roadAccidents a motorbike rider falling during an intersection collision,49406 4370 22072 320 33341 9707 7293 1590 550 19210 15407 49407
90,ucf_manual_class_prompts_10x.json,9,Robbery,0,13,11,a threatening person forcing a victim to surrender valuables,robbery a threatening person forcing a victim to surrender valuables,49406 16393 320 16400 2533 21573 320 9133 531 20964 6291 8486 49407
91,ucf_manual_class_prompts_10x.json,9,Robbery,1,15,13,an aggressor confronting someone and grabbing a purse or wallet,robbery an aggressor confronting someone and grabbing a purse or wallet,49406 16393 550 10426 35152 20033 694 2100 537 26440 320 16480 541 12154 49407
92,ucf_manual_class_prompts_10x.json,9,Robbery,2,13,11,a victim handing over belongings under close range intimidation,robbery a victim handing over belongings under close range intimidation,49406 16393 320 9133 19196 962 16453 895 1798 2660 3818 49258 49407
93,ucf_manual_class_prompts_10x.json,9,Robbery,3,11,9,a robber snatching property and escaping quickly,robbery a robber snatching property and escaping quickly,49406 16393 320 35545 18457 1439 5043 537 21767 7787 49407
94,ucf_manual_class_prompts_10x.json,9,Robbery,4,11,9,a person threatening a clerk and demanding money,robbery a person threatening a clerk and demanding money,49406 16393 320 2533 16400 320 22230 537 17099 2327 49407
95,ucf_manual_class_prompts_10x.json,9,Robbery,5,14,12,an attacker cornering a victim and seizing personal items,robbery an attacker cornering a victim and seizing personal items,49406 16393 550 39288 5202 1785 320 9133 537 567 17354 4121 6207 49407
96,ucf_manual_class_prompts_10x.json,9,Robbery,6,11,9,a forced handover following a visible threat gesture,robbery a forced handover following a visible threat gesture,49406 16393 320 8201 46922 3473 320 8626 7212 21780 49407
97,ucf_manual_class_prompts_10x.json,9,Robbery,7,13,11,a suspect taking valuables while the victim backs away,robbery a suspect taking valuables while the victim backs away,49406 16393 320 9065 2019 6291 8486 1519 518 9133 7562 1520 49407
98,ucf_manual_class_prompts_10x.json,9,Robbery,8,13,11,a person brandishing a weapon to demand property,robbery a person brandishing a weapon to demand property,49406 16393 320 2533 3684 570 1743 320 10537 531 5650 5043 49407
99,ucf_manual_class_prompts_10x.json,9,Robbery,9,13,11,a robber approaching a victim and leaving with belongings,robbery a robber approaching a victim and leaving with belongings,49406 16393 320 35545 12164 320 9133 537 5216 593 16453 895 49407
100,ucf_manual_class_prompts_10x.json,10,Shooting,0,12,10,an armed person aiming a firearm and firing shots,shooting an armed person aiming a firearm and firing shots,49406 3992 550 8202 2533 21768 320 40311 537 15105 5342 49407
101,ucf_manual_class_prompts_10x.json,10,Shooting,1,12,10,a gunman pointing a weapon as people scatter,shooting a gunman pointing a weapon as people scatter,49406 3992 320 32743 19233 320 10537 601 1047 13899 652 49407
102,ucf_manual_class_prompts_10x.json,10,Shooting,2,13,11,a muzzle flash appearing as a shooter targets someone,shooting a muzzle flash appearing as a shooter targets someone,49406 3992 320 670 7873 5815 18759 601 320 13645 12468 2100 49407
103,ucf_manual_class_prompts_10x.json,10,Shooting,3,12,10,a person firing a handgun and causing panic,shooting a person firing a handgun and causing panic,49406 3992 320 2533 15105 320 1722 3496 537 10779 14124 49407
104,ucf_manual_class_prompts_10x.json,10,Shooting,4,12,10,an armed attacker discharging a weapon in public,shooting an armed attacker discharging a weapon in public,49406 3992 550 8202 39288 22671 3905 320 10537 530 2122 49407
105,ucf_manual_class_prompts_10x.json,10,Shooting,5,12,10,a victim falling after a nearby firearm is fired,shooting a victim falling after a nearby firearm is fired,49406 3992 320 9133 7293 953 320 13314 40311 533 8846 49407
106,ucf_manual_class_prompts_10x.json,10,Shooting,6,12,10,a shooter raising a gun while a crowd runs,shooting a shooter raising a gun while a crowd runs,49406 3992 320 13645 6883 320 3496 1519 320 4570 5586 49407
107,ucf_manual_class_prompts_10x.json,10,Shooting,7,14,12,a gunfire scene with fear and rapid dispersal,shooting a gunfire scene with fear and rapid dispersal,49406 3992 320 2748 1769 3562 593 5402 537 12205 11073 4840 566 49407
108,ucf_manual_class_prompts_10x.json,10,Shooting,8,14,12,a person aiming a rifle or handgun at a target,shooting a person aiming a rifle or handgun at a target,49406 3992 320 2533 21768 320 15354 541 1722 3496 536 320 5400 49407
109,ucf_manual_class_prompts_10x.json,10,Shooting,9,12,10,a shooter stance with recoil and fleeing people,shooting a shooter stance with recoil and fleeing people,49406 3992 320 13645 3542 593 2535 958 537 30543 1047 49407
110,ucf_manual_class_prompts_10x.json,11,Shoplifting,0,14,12,a shopper concealing merchandise inside clothing or a bag,shoplifting a shopper concealing merchandise inside clothing or a bag,49406 5738 10857 320 24346 9145 5169 16808 2912 7425 541 320 3365 49407
111,ucf_manual_class_prompts_10x.json,11,Shoplifting,1,12,10,a person removing a store item without checkout,shoplifting a person removing a store item without checkout,49406 5738 10857 320 2533 18504 320 2183 8532 2193 13101 49407
112,ucf_manual_class_prompts_10x.json,11,Shoplifting,2,13,11,a customer hiding a product and exiting an aisle,shoplifting a customer hiding a product and exiting an aisle,49406 5738 10857 320 5102 11371 320 4306 537 39577 550 26917 49407
113,ucf_manual_class_prompts_10x.json,11,Shoplifting,3,13,11,a shopper slipping goods into a bag while browsing,shoplifting a shopper slipping goods into a bag while browsing,49406 5738 10857 320 24346 36301 9340 1095 320 3365 1519 29318 49407
114,ucf_manual_class_prompts_10x.json,11,Shoplifting,4,12,10,a person scanning surroundings before pocketing merchandise,shoplifting a person scanning surroundings before pocketing merchandise,49406 5738 10857 320 2533 24092 26915 1348 13232 15951 16808 49407
115,ucf_manual_class_prompts_10x.json,11,Shoplifting,5,12,10,someone carrying an unpaid item past the cashier,shoplifting someone carrying an unpaid item past the cashier,49406 5738 10857 2100 9920 550 32811 8532 2729 518 34547 49407
116,ucf_manual_class_prompts_10x.json,11,Shoplifting,6,13,11,concealed goods disappearing beneath a jacket in a store,shoplifting concealed goods disappearing beneath a jacket in a store,49406 5738 10857 35419 9340 35819 16850 320 6164 530 320 2183 49407
117,ucf_manual_class_prompts_10x.json,11,Shoplifting,7,14,12,a customer manipulating shelf products and hiding one item,shoplifting a customer manipulating shelf products and hiding one item,49406 5738 10857 320 5102 19237 1074 10955 3964 537 11371 637 8532 49407
118,ucf_manual_class_prompts_10x.json,11,Shoplifting,8,13,11,a suspect leaving a shop while holding unpaid merchandise,shoplifting a suspect leaving a shop while holding unpaid merchandise,49406 5738 10857 320 9065 5216 320 1557 1519 5050 32811 16808 49407
119,ucf_manual_class_prompts_10x.json,11,Shoplifting,9,16,14,a retail theft scene with discreet concealment and exit,shoplifting a retail theft scene with discreet concealment and exit,49406 5738 10857 320 6455 13286 3562 593 20616 875 9145 526 777 537 9374 49407
120,ucf_manual_class_prompts_10x.json,12,Stealing,0,12,10,a person taking unattended property and leaving quickly,stealing a person taking unattended property and leaving quickly,49406 14242 320 2533 2019 569 8140 5043 537 5216 7787 49407
121,ucf_manual_class_prompts_10x.json,12,Stealing,1,15,13,"a thief grabbing a bicycle, bag, phone, or object","stealing a thief grabbing a bicycle, bag, phone, or object",49406 14242 320 18508 26440 320 11652 267 3365 267 1951 267 541 14115 49407
122,ucf_manual_class_prompts_10x.json,12,Stealing,2,13,11,a suspect approaching a valuable item and carrying it away,stealing a suspect approaching a valuable item and carrying it away,49406 14242 320 9065 12164 320 10056 8532 537 9920 585 1520 49407
123,ucf_manual_class_prompts_10x.json,12,Stealing,3,12,10,unattended belongings disappearing after suspicious human contact,stealing unattended belongings disappearing after suspicious human contact,49406 14242 569 8140 16453 895 35819 953 19862 2751 3523 49407
124,ucf_manual_class_prompts_10x.json,12,Stealing,4,12,10,a person lifting property while the owner is distracted,stealing a person lifting property while the owner is distracted,49406 14242 320 2533 10857 5043 1519 518 5019 533 24049 49407
125,ucf_manual_class_prompts_10x.json,12,Stealing,5,12,10,a thief cutting a lock and taking a bicycle,stealing a thief cutting a lock and taking a bicycle,49406 14242 320 18508 7266 320 4381 537 2019 320 11652 49407
126,ucf_manual_class_prompts_10x.json,12,Stealing,6,13,11,a suspect removing a package or bag from public space,stealing a suspect removing a package or bag from public space,49406 14242 320 9065 18504 320 7053 541 3365 633 2122 2138 49407
127,ucf_manual_class_prompts_10x.json,12,Stealing,7,14,12,a person pocketing an unattended item and changing direction,stealing a person pocketing an unattended item and changing direction,49406 14242 320 2533 13232 15951 550 569 8140 8532 537 5621 5407 49407
128,ucf_manual_class_prompts_10x.json,12,Stealing,8,13,11,a valuable object being taken stealthily during distraction,stealing a valuable object being taken stealthily during distraction,49406 14242 320 10056 14115 1265 2807 795 23463 1026 1590 32039 49407
