class_name,class_index,prompt_index,prompt_text,auc,ap,positive_mean,negative_mean,margin,best_other_class,other_minus_own
Arson,3,0,a person lighting material before flames spread,81.21412830617818,19.650951963098066,0.6978084444999695,0.2605265974998474,0.43728184700012207,Explosion,-0.11571884155273438
Arson,3,1,a person pouring accelerant before fire grows,82.77206130966673,20.9850121420076,0.5889906287193298,0.18837624788284302,0.4006143808364868,Explosion,-0.07191139459609985
Arson,3,2,a lighter touching a surface before ignition starts,82.5035010189406,20.35923789020552,0.7555336952209473,0.26200994849205017,0.4935237467288971,Explosion,-0.047048211097717285
Arson,3,3,small flames expanding after deliberate human ignition,82.07646054922529,20.716544668166765,0.5927278995513916,0.1993146389722824,0.393413245677948,Explosion,-0.068431556224823
Arson,3,4,a person retreating as planted fire begins spreading,83.32753157746102,21.619287449072697,0.8582660555839539,0.314166784286499,0.5440992712974548,Stealing,0.08680754899978638
Assault,4,0,a single attacker lunging with a direct strike,83.52265934360173,21.73214420477557,0.7297090888023376,0.2348560392856598,0.49485304951667786,Fighting,-0.057813286781311035
Assault,4,1,a one-sided attack with punches and defensive movement,84.64674183889662,24.331754784404428,0.8164565563201904,0.28150707483291626,0.5349494814872742,Abuse,-0.03689855337142944
Assault,4,2,an aggressor kicking a fallen victim on pavement,84.09942727351019,22.78553080473504,0.786395788192749,0.2588787376880646,0.5275170803070068,Abuse,-0.029322564601898193
Assault,4,3,a victim stumbling backward after a sudden hit,84.09696581113953,23.861784389095895,0.738423764705658,0.23621611297130585,0.5022076368331909,Fighting,-0.0830392837524414
Assault,4,4,an attacker chasing one target while striking repeatedly,83.23039149150875,21.550718414313746,0.7471598386764526,0.24802860617637634,0.4991312325000763,Fighting,-0.06875711679458618
Burglary,5,0,an intruder manipulating a lock at a doorway,84.60539041465138,28.369444863676613,0.7563953399658203,0.25453925132751465,0.5018560886383057,Abuse,-0.05618220567703247
Burglary,5,1,a person prying open access to a restricted room,84.14049159757678,25.865967726526694,0.7771093249320984,0.26757779717445374,0.5095314979553223,Explosion,-0.04267030954360962
Burglary,5,2,a masked intruder entering a closed building interior,83.35743302399517,23.06865598484931,0.8543170094490051,0.3259517550468445,0.5283652544021606,Robbery,-0.07043725252151489
Burglary,5,3,a person climbing through a window into private space,82.61851579705622,22.732363973202098,0.8753072619438171,0.35541659593582153,0.5198906660079956,Stealing,-0.10457468032836914
Burglary,5,4,an intruder searching inside rooms after unauthorized entry,83.51846473400045,24.757812439405303,0.8300462961196899,0.30836978554725647,0.5216765403747559,Stealing,-0.09216868877410889
Explosion,6,0,a blast center expanding into a radial debris cloud,83.42752674402108,22.173726811357746,0.7767057418823242,0.26615220308303833,0.5105535387992859,Fighting,-0.08047598600387573
Explosion,6,1,a sudden shock front spreading from one point,81.54146734488094,20.622830859215092,0.715492844581604,0.2569059729576111,0.4585868716239929,Fighting,-0.02757430076599121
Explosion,6,2,an object rupturing outward in a single instant,84.46259470932607,24.352775544502787,0.6716506481170654,0.2055022418498993,0.46614840626716614,Abuse,-0.02688533067703247
Explosion,6,3,a compact detonation producing outward airborne fragments,82.99224522956271,21.105117514225,0.7457030415534973,0.2523886263370514,0.4933144152164459,Arson,-0.0752456784248352
Explosion,6,4,a pressure blast expanding faster than surrounding motion,82.61274527807875,21.424983356838524,0.6101467609405518,0.19861534237861633,0.4115314185619354,Arson,-0.013526082038879395
Fighting,7,0,two groups mutually exchanging punches in a brawl,83.86065954810455,23.16449591677489,0.7324556708335876,0.2362983077764511,0.49615734815597534,Explosion,-0.06874620914459229
Fighting,7,1,multiple participants striking each other during mutual combat,82.9303475801944,21.534890415331155,0.8305591940879822,0.29829826951026917,0.5322608947753906,Robbery,-0.03676784038543701
Fighting,7,2,opponents separating and reengaging in group fighting,83.39545491095588,21.830568607557428,0.6190906167030334,0.19202382862567902,0.4270668029785156,Explosion,-0.02442944049835205
Fighting,7,3,several combatants grappling and swinging simultaneously,83.29009720793167,21.68114882458183,0.8031062483787537,0.28089433908462524,0.5222119092941284,Explosion,-0.0843273401260376
Fighting,7,4,two sides clashing back and forth in public,84.09686629914088,23.189156595004004,0.7624699473381042,0.2486952543258667,0.5137746930122375,Assault,-0.029777944087982178
RoadAccidents,8,0,vehicles colliding at an intersection on the roadway,81.57211003440368,20.279148056839556,0.8572155237197876,0.3375536799430847,0.5196618437767029,Stealing,-0.07451879978179932
RoadAccidents,8,1,a car striking a pedestrian or cyclist on road,81.53324263834367,21.334584245596062,0.7194095253944397,0.24790571630001068,0.4715037941932678,Vandalism,-0.026348531246185303
RoadAccidents,8,2,a motorbike sliding across a lane after collision,81.66274440992042,20.8574642993751,0.7854287028312683,0.28233882784843445,0.5030899047851562,Vandalism,-0.08037930727005005
RoadAccidents,8,3,vehicles swerving before colliding in traffic,81.04579812596722,20.99562312026653,0.8375959992408752,0.31257277727127075,0.5250232219696045,Vandalism,-0.12879431247711182
RoadAccidents,8,4,a crashed vehicle blocking lanes after roadway impact,80.69807780110132,20.135335910026942,0.8215901255607605,0.31440529227256775,0.5071848630905151,Stealing,-0.11107802391052246
Robbery,9,0,a threatening person demanding valuables from a victim,83.10358695104517,23.019937687739823,0.785848081111908,0.2830895781517029,0.5027585029602051,Stealing,-0.05227184295654297
Robbery,9,1,a victim handing belongings during close intimidation,81.27427747097578,20.30056951199543,0.8783421516418457,0.39633089303970337,0.48201125860214233,Stealing,-0.05202847719192505
Robbery,9,2,a robber confronting someone and taking personal items,83.67738004861864,24.507244930062676,0.7708718776702881,0.2712652385234833,0.4996066391468048,Stealing,-0.06450843811035156
Robbery,9,3,a weapon used to force a property handover,82.89687407178974,20.99700889358902,0.7322689890861511,0.24674226343631744,0.4855267405509949,Shooting,0.062210142612457275
Robbery,9,4,a victim backing away while valuables are taken,84.3411290552409,24.574994010596896,0.7756555676460266,0.25788089632987976,0.5177747011184692,Abuse,-0.002318263053894043
Shooting,10,0,an armed person aiming and firing a firearm,83.09046095885365,21.10501787462879,0.662398636341095,0.21322180330753326,0.4491768479347229,Arson,-0.12020504474639893
Shooting,10,1,a visible muzzle flash from a discharged gun,83.53452879524714,22.082539167712167,0.6683141589164734,0.2086019068956375,0.45971226692199707,Arson,-0.09650498628616333
Shooting,10,2,a shooter raising a gun before firing,81.40123827622992,19.03731322033436,0.8094971776008606,0.30973973870277405,0.49975743889808655,Arson,-0.043489813804626465
Shooting,10,3,a person firing a handgun in surveillance footage,84.47781110219839,23.52064535153275,0.7190132141113281,0.22484703361988068,0.49416619539260864,Arrest,-0.0730941891670227
Shooting,10,4,an armed shooter discharging a weapon toward people,84.43258113803203,24.292254911448634,0.7526445388793945,0.24284231662750244,0.5098022222518921,Arrest,-0.03818202018737793
Shoplifting,11,0,a shopper concealing merchandise inside clothing or bag,82.26584266048727,22.54399475037092,0.7577332854270935,0.27473604679107666,0.48299723863601685,Robbery,-0.07761883735656738
Shoplifting,11,1,a person hiding a retail item while browsing shelves,81.97828333472911,22.080453300612696,0.6922281980514526,0.24329695105552673,0.4489312469959259,Robbery,-0.1322234869003296
Shoplifting,11,2,store goods disappearing beneath a jacket while shopping,81.53493906863085,20.618978516127324,0.6411637663841248,0.23292025923728943,0.4082435071468353,Arson,-0.06939536333084106
Shoplifting,11,3,a shopper slipping merchandise into a bag in aisle,80.06363748757147,19.628538395258907,0.8002475500106812,0.3519878089427948,0.44825974106788635,Stealing,-0.039368271827697754
Shoplifting,11,4,a customer exiting retail space with concealed merchandise,82.20638324043125,21.998685517065965,0.5784886479377747,0.19620944559574127,0.3822792172431946,Explosion,-0.03452843427658081
Stealing,12,0,a person taking an unattended bag and leaving,82.97783237430136,22.6476768143044,0.803511381149292,0.29178112745285034,0.5117302536964417,Robbery,-0.004179716110229492
Stealing,12,1,a thief lifting a phone or package from public space,83.44336072663205,30.158229454654617,0.8612703680992126,0.3296022117137909,0.5316681861877441,Burglary,-0.08229470252990723
Stealing,12,2,a suspect carrying property while the owner is distracted,84.27381866857995,29.27974539318828,0.8015742897987366,0.2817975878715515,0.5197767019271851,Robbery,-0.04883277416229248
Stealing,12,3,a person pocketing an unattended item and walking away,82.6457209299374,30.166404713014373,0.8256248235702515,0.3109356760978699,0.5146891474723816,Burglary,-0.141082763671875
Stealing,12,4,a thief removing a bicycle after handling its lock,82.19872288313792,28.016444770028105,0.8752484321594238,0.3541311025619507,0.5211173295974731,Robbery,-0.10622596740722656
Vandalism,13,0,a person spraying paint across a wall surface,82.5667470104809,21.099994143482583,0.7075149416923523,0.24236272275447845,0.46515220403671265,Shooting,-0.089291512966156
Vandalism,13,1,someone scratching a parked vehicle with a tool,83.13419838204945,22.11783528861878,0.5958129167556763,0.18427418172359467,0.4115387201309204,Arson,-0.010795950889587402
Vandalism,13,2,a person repeatedly kicking a public fixture,82.24165395147116,21.416250851634654,0.5719205141067505,0.1962757408618927,0.3756447732448578,Arson,0.061546504497528076
Vandalism,13,3,a vandal hitting a sign until it bends,84.87467849228287,31.638498536203308,0.8162840604782104,0.288748562335968,0.5275354981422424,Burglary,0.07598733901977539
Vandalism,13,4,a person marking property with deliberate graffiti strokes,82.11320989105599,24.75744162659962,0.8890988230705261,0.3719674050807953,0.5171314477920532,Stealing,0.09587287902832031
